City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Toba,JP,34.4833,136.85,37.4,66,1,32.77,clear sky
207,Kasongo-Lunda,CD,-6.4667,16.8167,70.52,95,67,2.71,light rain
208,Pemba,MZ,-12.974,40.5178,77.7,94,75,6.91,moderate rain
209,Saint-Joseph,RE,-21.3667,55.6167,79.18,82,95,5.97,overcast clouds
210,Severnoye,RU,56.3491,78.3619,6.82,94,100,15.95,light snow
211,Lasa,IT,46.6166,10.7002,45.48,95,100,4.63,overcast clouds
212,Bafoulabe,ML,13.8065,-10.8321,85.68,14,1,6.44,clear sky
213,Biak,ID,-0.9131,122.8766,77.5,84,99,1.79,overcast clouds
214,Praya,CV,14.9215,-23.5087,81.14,57,20,13.8,few clouds
215,Alice Springs,AU,-23.7,133.8833,71.15,94,100,5.75,overcast clouds
216,Aklavik,CA,68.2191,-135.0107,-18.4,69,75,12.66,broken clouds
217,Cap Malheureux,MU,-19.9842,57.6142,78.48,67,33,1.99,scattered clouds
218,Florianopolis,BR,-27.6146,-48.5012,78.55,54,40,14.97,scattered clouds
219,Bikaner,IN,28.0167,73.3,54.73,25,0,6.67,clear sky
220,Batagay-Alyta,RU,67.8006,130.4114,-15.3,100,91,2.53,overcast clouds
221,Alofi,NU,-19.0595,-169.9187,75.09,94,75,5.75,broken clouds
222,Victoria,HK,22.2855,114.1577,62.26,59,10,3.0,clear sky
223,Tokur,RU,53.1333,132.9,-3.71,99,100,3.49,overcast clouds
224,Rio Claro,BR,-22.4114,-47.5614,79.99,53,63,5.21,broken clouds
225,Ilinskiy,RU,55.619,38.1182,35.94,93,100,11.18,light snow
226,Pangoa,PE,-12.1167,-73.0,81.5,69,98,3.31,overcast clouds
227,Bengkulu,ID,-3.8004,102.2655,75.92,89,100,4.81,overcast clouds
228,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,69,75,13.42,light shower snow
229,Outlook,CA,51.5001,-107.0513,-13.54,94,84,8.52,broken clouds
230,Kaitangata,NZ,-46.2817,169.8464,52.36,96,100,3.67,overcast clouds
231,East London,ZA,-33.0153,27.9116,68.94,94,100,20.71,moderate rain
232,Tezpur,IN,26.6333,92.8,60.62,73,1,2.84,clear sky
233,The Valley,AI,18.217,-63.0578,84.06,65,20,13.8,few clouds
234,Lucea,JM,18.451,-78.1736,84.06,70,3,12.15,clear sky
235,Troitskoye,RU,52.9821,84.6757,-6.36,100,98,6.91,overcast clouds
236,Oranjemund,NA,-28.55,16.4333,66.52,84,65,10.83,broken clouds
237,Lompoc,US,34.6391,-120.4579,52.52,100,100,3.44,mist
