City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,فندق أدرار
303,Hualmay,PE,74.17,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
304,Galle,LK,76.77,scattered clouds,6.0367,80.217,Jungle Hostel Villa
306,Constitucion,CL,67.19,clear sky,-35.3333,-72.4167,Hostal Alameda
308,Nador,MA,66.27,clear sky,35.174,-2.9287,Hotel Lixus
313,Port Augusta,AU,66.58,clear sky,-32.5,137.7667,Hotel Commonwealth
315,Cusco,PE,70.03,scattered clouds,-13.5183,-71.9781,Tukuna Hostel
316,Barreiras,BR,79.86,overcast clouds,-12.1528,-44.99,Principe Hotel
318,Cabo San Lucas,MX,76.51,clear sky,22.8909,-109.9124,Comfort Rooms
331,Tabou,CI,81.27,scattered clouds,4.423,-7.3528,hôtel le rochet
333,Ahipara,NZ,62.42,overcast clouds,-35.1667,173.1667,YHA Ahipara
334,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,Ibis Styles
335,Gasa,PS,56.88,clear sky,31.5,34.4667,مسجد الفتح المبين
336,Alanya,TR,53.73,clear sky,36.5438,31.9998,Temizotel
337,Sambava,MG,78.08,moderate rain,-14.2667,50.1667,Royal Sava Hôtel
338,Salisbury,GB,51.44,broken clouds,51.0693,-1.7957,The Cathedral Hotel
339,Cockburn Town,TC,79.27,few clouds,21.4612,-71.1419,The Salt Raker Inn
340,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
341,Barcelos,PT,62.74,overcast clouds,41.5388,-8.6151,Hotel Dom Nuno
342,Kendari,ID,78.75,overcast clouds,-3.945,122.4989,Hotel Agung
343,Mulege,MX,69.62,scattered clouds,26.8833,-111.9833,Hacienda Hotel
344,Vanimo,PG,77.81,broken clouds,-2.6741,141.3028,CBC Guesthouse
346,Chowchilla,US,59.45,fog,37.123,-120.2602,Holiday Inn Express & Suites
349,Manokwari,ID,79.0,overcast clouds,-0.8667,134.0833,Hotel Arfak
350,Abu Dhabi,AE,73.42,overcast clouds,24.4667,54.3667,Marriott Downtown Abu-Dhabi
351,Kralendijk,BQ,84.18,clear sky,12.15,-68.2667,Hotel Bonaire Inn
352,Salalah,OM,75.29,scattered clouds,17.0151,54.0924,Muscat International Hotel
354,Wonthaggi,AU,60.82,broken clouds,-38.6044,145.5913,Wonthaggi Workmens Club
355,Lubango,AO,64.83,overcast clouds,-14.9172,13.4925,Novo Hotel
357,Mantenopolis,BR,75.52,overcast clouds,-18.8625,-41.1228,Hotel Paizante
358,Pak Phanang,TH,77.85,overcast clouds,8.3511,100.202,Pak Phanang Hotel
362,Misratah,LY,64.24,light rain,32.3754,15.0925,الفندق السياحى
363,Lazaro Cardenas,MX,83.05,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
367,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,The Abidah By Accra
368,Yenagoa,NG,81.79,clear sky,4.9247,6.2642,Peretimi Hotels Ltd.
373,Broken Hill,AU,75.4,broken clouds,-31.95,141.4333,Ibis Styles
374,Saint-Paul,RE,80.71,overcast clouds,-21.0096,55.2707,Hôtel d'application
377,Jalpan,MX,53.46,overcast clouds,21.2333,-99.4833,Posada Karina
378,Monte Carmelo,BR,82.33,scattered clouds,-18.7247,-47.4986,Hotel Dona Wanda
381,Adjumani,UG,79.09,overcast clouds,3.3779,31.7909,Bucolic Hotel
382,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Coco Villa
384,Bodh Gaya,IN,55.29,mist,24.7,84.9833,Buddha Residency
385,Mildura,AU,60.08,clear sky,-34.2,142.15,Chaffey Motor Inn
389,Hokitika,NZ,58.46,overcast clouds,-42.7167,170.9667,Beachfront Hotel
394,Boa Esperanca,BR,78.31,broken clouds,-21.09,-45.5658,Hotel do Lago
395,Ouesso,CG,78.03,broken clouds,1.6136,16.0517,Auberge Nianina
400,Tawau,MY,78.93,overcast clouds,4.2498,117.8871,Eden boutique
401,Eyl,SO,76.78,scattered clouds,7.9803,49.8164,فندق ايل دابي
404,Kalmunai,LK,75.52,broken clouds,7.4167,81.8167,Saji new food
410,Santiago,CL,85.55,few clouds,-33.4569,-70.6483,apart arturo prat
414,Vila Franca Do Campo,PT,59.41,overcast clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
